
Vegetable, Turnip, 1, 1, 2, 0, 1, 1, 1, 5, 6
Vegetable, Carrot, 1.5, 1, 2, 0, 1, 1, 1-2, 10, 9
Vegetable, Tomato, 2.5, 3, 4, 1, 2, 1, 1-3, 20, 15
Vegetable, Potato, 5, 4, 5, 2, 3, 1, 1-6, 25, 13
Flower, Rose, 1, 1, 2, 0, 1, 2, 1, 5, 5
Flower, Tulip, 1.5, 2, 3, 0, 1, 2, 1, 7, 7
Flower, Stargazer, 2.5, 2, 3, 0, 1, 2, 1, 10, 9
Flower, Sunflower, 3.5, 2, 3, 1, 2, 2, 1, 20, 19
Tree, Mango, 7, 7, 7, 4, 4, 3, 5-10, 50, 4
Tree, Apple, 7, 7, 7, 5, 5, 3, 7-10, 55, 3.5
Tree, Banana, 8, 8, 8, 5, 5, 3, 10-15, 60, 3.5
Tree, Orange, 8, 8, 8, 6, 6, 3, 13-15, 65, 4.5
